id,area,compactness,density,adjacentRooms,y_label
plan_modifie_1_01a302_room2,3.426476069,13.29611807,0.00035868,3,3
plan_modifie_1_01a302_room3,6.576497077,18.18703333,0.0002935,5,4
plan_modifie_1_01a302_room4,6.839599688,17.04100378,0.000666251,3,2
plan_modifie_1_01a302_room5,49.63402418,21.73503703,0.000195003,3,0
plan_modifie_1_01a302_room6,18.4440657,15.48135992,0.000221367,3,1
plan_modifie_1_01a402_room1,14.15536765,17.34499758,0.000127488,3,1
plan_modifie_1_01a402_room2,3.847224287,18.2563103,0.000366057,3,3
plan_modifie_1_01a402_room3,7.007430621,21.03586735,0.000265822,5,4
plan_modifie_1_01a402_room4,6.803078999,16.50450161,0.000677229,3,2
plan_modifie_1_01a402_room5,49.40306041,25.75312891,0.000207101,3,0
plan_modifie_1_01a402_room6,18.78231303,15.6690102,0.000234287,3,1
plan_modifie_1_01a405_room1,11.69302996,13.18880517,0.000131814,2,1
plan_modifie_1_01a405_room2,9.423911671,19.52210959,0.000253578,4,4
plan_modifie_1_01a405_room3,7.231411204,12.3787071,0.000744075,3,2
plan_modifie_1_01a405_room4,3.720296086,11.51612894,0.000257295,3,3
plan_modifie_1_01a405_room5,7.287572421,15.55960333,0.000229626,5,4
plan_modifie_1_01a405_room6,43.09675814,19.07387652,0.000137332,4,0
plan_modifie_1_01a405_room7,16.56602087,11.04976742,0.00019458,3,1
