lot_plan_010217_room5,14.78399325,18.36890869,8.96E-05,be,
lot_plan_010217_room6,19.37637355,17.60819621,0.000115866,be,
lot_plan_010218_room1,31.13575871,27.45763654,0.000218704,be,
lot_plan_010218_room2,14.11467695,37.06540881,0.000267597,ba/wc,
lot_plan_010218_room3,53.51698944,29.80835223,6.10E-05,l,
lot_plan_020311_room1,13.4781506,23.27967209,0.000201853,ba/wc,
lot_plan_020311_room2,57.50525866,48.38721873,8.42E-05,l,
lot_plan_020311_room3,28.18385068,20.1677244,7.57E-05,be,
lot_plan_020312_room1,3.107158957,13.75745894,0.000399673,wc,
lot_plan_020312_room2,8.030411847,16.51928128,0.000181129,ba,
lot_plan_020312_room3,53.33077136,34.62332915,8.22E-05,l,
lot_plan_020312_room4,15.12405956,20.95503851,6.23E-05,be,
lot_plan_020312_room5,19.66518688,13.58837201,7.52E-05,be,
lot_plan_020313_room1,14.50339373,15.69502623,6.29E-05,be,
lot_plan_020313_room2,18.58441839,15.86797903,7.34E-05,be,
lot_plan_020313_room3,5.227444985,19.10965709,0.000145848,i,
lot_plan_020313_room4,7.578936436,25.5743417,0.000149472,ba,
lot_plan_020313_room5,3.158322906,13.7016229,0.000404635,wc,
lot_plan_020313_room6,50.22922748,21.15046062,5.06E-05,l,
lot_plan_020314_room1,15.77810708,21.579751,5.95E-05,be,
lot_plan_020314_room2,19.20681072,12.2667627,7.36E-05,be,
lot_plan_020314_room3,5.988966543,21.47813832,0.000160726,i,
lot_plan_020314_room4,3.129626469,12.45450698,0.000400914,wc,
lot_plan_020314_room5,8.318278881,14.43044173,0.000173684,ba,
lot_plan_020314_room6,46.72496278,22.99135441,4.93E-05,l,
lot_plan_020315_room1,46.27239557,19.28134335,5.14E-05,l,
lot_plan_020315_room2,2.809081005,12.97634679,0.000411452,wc,
lot_plan_020315_room3,7.569143516,26.21446677,0.000151365,ba,
lot_plan_020315_room4,5.654788613,20.06005357,0.00038032,i,
lot_plan_020315_room5,15.47008683,15.97633939,5.97E-05,be,
lot_plan_020315_room6,21.12770055,12.58840078,6.35E-05,be,
lot_plan_020401_room1,16.2687586,17.55340715,5.70E-05,be,
lot_plan_020401_room2,19.78331836,11.59094443,7.18E-05,be,
lot_plan_020401_room3,5.256706469,16.86056101,0.000121027,i,
lot_plan_020401_room4,7.86854925,20.89467034,0.000157382,ba,
lot_plan_020401_room5,3.013535548,11.37305349,0.000403207,wc,
lot_plan_020401_room6,46.82979151,24.13359105,6.05E-05,l,
